rank,name,tel,address,roadAddress,x,y
1,라온펫동물병원,02-555-2272,서울특별시 송파구 송파동 98-4,서울특별시 송파구 가락로 140 2층 201호 라온펫동물병원,127.1114977,37.5022442
2,에코동물병원,02-443-2222,서울특별시 송파구 가락동 137-3 청공빌딩 101호,서울특별시 송파구 동남로 161 청공빌딩 101호,127.1281180,37.4927230
3,24시잠실on동물의료센터,02-418-0724,"서울특별시 송파구 잠실본동 175-6 J타워 1,2층",서울특별시 송파구 올림픽로 76 J타워,127.0791660,37.5115990
4,이룸 동물병원,02-419-7580,서울특별시 송파구 석촌동 213-2 1층,서울특별시 송파구 삼학사로 44 보라빌딩,127.0970800,37.5011030
5,더샵동물메디컬센터,02-416-7512,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길 9 2층 207호 더샵 동물메디컬센터,127.1032499,37.5175993
6,24시샤인동물메디컬센터,02-2088-7775,서울특별시 송파구 송파동 15-6,서울특별시 송파구 송파대로 450,127.1061671,37.5068522
7,24시페토피아동물병원,02-414-0075,서울특별시 송파구 방이동 124-8,서울특별시 송파구 오금로 203 남양빌딩,127.1166010,37.5081120
8,위드펫 종합동물병원,02-2202-0075,서울특별시 송파구 잠실본동 234-17,서울특별시 송파구 백제고분로 161 성선빌딩,127.0848625,37.5054750
9,꿈이크는동물병원,02-420-7580,서울특별시 송파구 잠실본동 222-6 그린빌딩1층,서울특별시 송파구 백제고분로 115 그린빌딩,127.0800000,37.5068833
10,24시 베스트 동물 메디컬센터,02-2203-7975,서울특별시 송파구 석촌동 2-9,서울특별시 송파구 삼학사로 88 1층,127.0974028,37.5049849
